Sun Jun 14 03:46:30 PDT 2015,sun.util.calendar.ZoneInfo[id="America/Los_Angeles",offset=-28800000,dstSavings=3600000,useDaylight=true,transitions=185,lastRule=java.util.SimpleTimeZone[id=America/Los_Angeles,offset=-28800000,dstSavings=3600000,useDaylight=true,startYear=0,startMode=3,startMonth=2,startDay=8,startDayOfWeek=1,startTime=7200000,startTimeMode=0,endMode=3,endMonth=10,endDay=1,endDayOfWeek=1,endTime=7200000,endTimeMode=0]]
Score,Message Content
0.0,"""RT @jjusthack: สั่งหมูผัดพริกเผาไข่ดาวไม่สุก แม่ค้าถามกลับแล้วหมูเอาสุกไหม เราจะตอบว่าอะไรดี จ้ะป้า ถ้างั้นป้าก็เอาข้าวสารราดเนื้อหมูสดตอกไ…"""
0.0,"""@DA2_Ega di antos ftv nu enggalna nya neng,,,heehe"""
0.0,"""Y Jun subiendo en mi lista porque le gusta TT____TT"""
0.0,"""https://t.co/A4zRN8GsTz يشرفنا عملائنا الكرام الرد علي استفسارتكم علي الوتس 0555444150"""
0.0,"""RT @hichun_kaeru: まゆごりわざわざありがとね😭💗💗💗 めっちゃ嬉しかった(இдஇ; ) お互い楽しもうね👍✨ http://t.co/xX0RozOjQd"""
0.0,"""RT @i_tripon: วลีเด็ด #เอมน้ำ 3 "เค้าจะไปได้ไกลค่ะ แต่จะดีมากถ้าไปด้วยกัน" *ไปเถิดทั้งคู่ ไปสู่ประตูสวรรค์* *ร้องเพลงคลอ*"""
0.0,"""RT @anokb1mhe6jy: エントロピー増大則【えんとろぴーぞうだいそく】: ニュートン力学や相対性理論、その他ほとんどの物理法則は時間を逆回しにしても成立する。にもかかわらずこぼしたインクは戻らない。これは宇宙には乱雑な方に向かう性質があるからである。 http://…"""
0.0,"""@sakura1212btbt ドリフターズって答えが出てましたよ"""
2.1248505589370765,"""RT @Yunho_Uknow: 150614 TVXQ BOW!!! Goodbye 20s! http://t.co/6KpShEKzMw"""
0.0,"""#groningen Qliner botst tegen ANWB bord http://t.co/xJks4vKRac #borrelnieuws"""
0.68729321101124,"""K ye Hindu,Wo Muslim hai,Falana Sikh or Dhimka Christian hai,Usko Pakistan Jana Chahiye to usko Dark Room mai khud to band kr lene Chahiye.."""
0.0,"""RT @yabedoga: ヲタ芸も極めるとカッコイイ!? http://t.co/QxJhpB6xos"""
51.98897007061443,"""RT @Breansmith: Been kinda over wit for me"""
1.3067951447908324,"""RT @davideagazzi: Ezio Manzini al #RENAfestival: innovazione sociale, design e prosperità http://t.co/rFlD1JsiH4 cc @ProgettoRENA @frarusso…"""
0.0,"""RT @albaarq8: _  تصدق إنك بارد وترفع الضغط ساعه اغرد لك وللحين ساكت !!  😒"""
0.0,"""RT @amykten: JR九州の衣装ほんとにかっこいいよね大好き http://t.co/VEaJTp2cVe"""
0.0,"""RT @lastpiece_DO: 150611 새싹 경수와 벚꽃 종인이♥♥♥♥♥ 종인아 경수횽아 팔 왜 들여다 보는건지 누나한테도 알려줘~ 8ㅁ8 #경수 #종인 http://t.co/ZXMEthA3UA http://t.co/7CAnCyOoou http…"""
0.0,"""@ms_lhjung kamu kan enaenanya sm aki trus/?"""
0.0,"""@tom_stopstop @SUPER_STAR_5 www 永松の恋バナにはいつも出てきますね！ いいねぇｗ"""
0.0,"""RT @munenemuimda: 존잘님이 연성이 좀 귀찮을 수도 있습니다. 존잘님이 연성 대신 소비만 할 수도 있습니다.  허나 내 장르 존잘님들은 그리하셔선 아니됩니다. http://t.co/z8bdTDpox8"""
10.658987637360154,"""HOLIDAY INN CLUB VACATIONS CAPE CANAVERAL BEACH RESORT FORMERLY RON JON CARIBE - Full read… http://t.co/iyzeVfpgUE http://t.co/OVvgUgqvHF"""
0.0,"""RT @koukosei_ziten: 今年の夏こそは 浴衣着て好きな人と 花火行きたい🎆💓って人RT http://t.co/XJZ9l72bgC"""
45.27726167125287,"""RT @magicalarry_: 'Calum cared about his bestfriend more than his burnt arm'  FRIENDSHIP GOALS   #GETWELLSOONCALUM"""
0.0,"""Bee Gees - Tragedy http://t.co/AlJaJuS4ZQ #KVGIx #nowplaying #listenlive"""
0.0,"""RT @TypowaFunGirl: Atychifobia - poczucia, że nie jesteśmy wystarczająco dobrzy, by być w związku z drugą osobą  wszystko jasne  już wiem n…"""
97.72885523945384,"""@Laporttila yesss better than this year's"""
0.0,"""RT @LeMasculiste: "approche lui" "touche lui" http://t.co/Tp90GRkdsB"""
64.19606722456929,"""RT @armani: Man of The Year @CalvinHarris in #EmporioArmani on the @GlamourMagUK cover. Shot by Gavin Bond. http://t.co/oLL9bhsh9G"""
0.0,"""RT @cf_marinagranc: @MarinaCalvo_Cai #MarinaCalvoCCME igual que yo"""
0.0,"""RT @mas__yamazaki: 首相周辺が進める安保法制を批判すると「中国にどう対処するのか」等、脅しのような論理を書いてくる人がいるが、論理が逆だろう。戦争や紛争に当事者として対処する能力が欠落している上、その欠落すら自覚しない「政府」に全権委任すれば、また前回と同様、…"""
0.0,"""RT @stonerpitavel69: quero-te tanto http://t.co/mqvZNDrW12"""
0.0,"""RT @SafvetS: Abdullah Gül = Erdoğan + Üslup"""
0.0,"""@DougaNiconico おやすみなさい、@hima_jln @366618さん。明日も良い日になると良いですね！"""
112.017493356321,"""All is vane , unless the Spirit of the Holy One comes down, brethren pray and Holy Manna will be gathered all around .."""
0.0,"""本当は朝の八時半です"""
0.0,"""相互フォローできる人いませんか？PCゲームの話がしたい人、絡みませんか？お気軽にフォローしてください！"""
78.45367226793975,"""RETWEET IF U WANT MALUM TO GET WELL SOON. LOVE YOU"""
0.0,"""@KuMei0517  痛みはもうないかな"""
0.0,"""野々原家はパン8枚切り派という話、西日本の人間にとっては「そんなのねーよw」っていうギャグになってしまう"""
70.32666907778062,"""Also in the CR - beben-eleben: When I was younger, I remember watching two drops of rain roll down window... http://t.co/JOi3XcpKfx"""
0.0,"""自分の思いとは関係なく、ベルリをその気にさせるためにカーヒルのことを敢えて言及する姫様。大人の行為も大概に。 #gレコ"""
0.0,"""浮上"""
0.0,"""@syrocker0326 楽しみだ!!!!"""
0.0,"""@ricco_dngnrnp お腹空いた💢💢💢💢"""
0.0,"""اللهم بارك لي في ولدي ومالي، وبارك لي فيما أعطيتني http://t.co/7ZcixkUJFb"""
0.0,"""病気なのか？"""
0.0,"""音乐: 【Shawn Mendes】Stitches http://t.co/mmgvtzqZI8"""
0.0,""""Masakit malamang hindi ka nya mahal.""""
0.0,"""@satorlappu 宮原にあるよー もっと言うと鉄道博物館駅の近く"""
0.0,"""@emi0419emi  食べっぷり飲みっぷりがよろしくて♡"""
0.0,"""あとでキャスできたらしたいなぁと思っとります"""
0.0,"""RT @ggggg456889: http://t.co/SElpTWNi4h"""
0.0,"""RT @wro0o0d000: ㅤㅤㅤㅤㅤㅤㅤㅤ   عسا اللي مضالي وراح واقفت به الايام يعوّد علي ولا إن  طواريهہ تتركني 🎼🌸."""
0.0,"""@korosuketenten  今日ヒロトか！！！ それはみよちゃんヤバイな(＞▽＜)きゃー♪"""
0.0,"""RT @alice_aiwa: การคิดถึงมากๆ นี่ถือเป็นอาการทางจิตมั้ย"""
0.0,"""@3jsb_GUN_CHAN_   フォローした 😳😳💓"""
23.549937882892202,"""Anyone at tamp ?"""
0.0,"""「わ、た、し、ま、お、う…」(魔王のフキダシを作っているようだ)"""
93.61342815884888,"""RT @AirForce_Carl: ex-royal marine with no family has died with no one to attend his funeral. Please Retweet and Share for Roger 🇬🇧 RIP htt…"""
17.438792686396997,"""RT @RunisMedia1: @MissUgandaWorld @FINAFRICA @EntUganda @danmumbere let's rock them"""
43.12151659942451,"""RT @Pause_Online: So much street stylers attended the #PAUSELCM presentation. Photos on our site tomorrow! #LCM http://t.co/wSA0TcAbU6"""
48.438325995673026,"""JDSFDSJKASM OKAY TOO MUCH HOPE"""
6.695395046425219,"""Les repas de famille c'est plus ce que c'était."""
0.0,"""#Skin minecraft эндермен скачать бесплатно для 1.5.2"""
0.0,"""RT @rob_sku: Skra Warszawa awansowała do ekstraligi @SportowaW  @wawa_sportpl więcej na  http://t.co/nDHHxfq2PP http://t.co/E27wEwwVI0"""
0.0,"""Ya millet günde 1 saat spor yapıyor.Ben geçen mekik çekeyim dedim uzaninca uyuya kalmisim"""
0.0,"""51- #MissYouFarrahRedTour 💥"""
0.0,"""#Играть в minecraft по сети без регистрации"""
0.0,"""اجـــــعــــــل حـــســـــــابــــك صــدقة جـــاريـــة فـي حيـاتـك و بعد مماتــك مع غردلي بالخير ..اشـترك معنا الان http://t.co/UTh2slyElM"""
1.254697371426043,"""RT @Uaoze: Los 8 concejales del @PSOEADRA #ColorPSOE @Pikerva11 @EsAlcala_ @Eva__Quintana @Adrianperez_7 #Paco #Soraya #Paco http://t.co/nI…"""
0.0,"""ぶりっこか…"""
38.188170897769695,"""RT @johnspatricc: → http://t.co/57DehSjgCl If Stephen A Smith has issues with Steve Kerr/Mark Jackson coverage, he #SteveSmith  460 http://…"""
0.0,"""@MoaningBiebah fb?♡"""
0.0,"""RT @Seiyuu_Trivia: 코니시 카츠유키「이시다 상 요즘 온화해졌다구요. 녹음현장에서 모두랑 같이 대화를 하고 있으니까. 이시다 상 분위기가 달라졌다고 생각했던」 이시다 아키라「툭 털어놓고 말하자면 코니시군이 있는 녹음현장이니까. 다른 현장…"""
0.0,"""RT @Lukpad_exo: เสียงหัวเราะ ลองดู #EXO บ่อยๆสิ ติ๋มว่าสนุกนะตลกด้วย ติ๋มดูบ่อย #LoveMeRight ถถถถถ"""
68.90132764545277,"""@FizzySmileKate @Maja_Zwolsman @lezziejo ..I'll no doubt have some nightmares with those images floating around my head.😧😱😁"""
13.18917745739855,"""İngiliz Dışişleri'nden 'Türkiye’ye gitmeyin' uyarısı http://t.co/4p5WEbUulp via @solhaberportali"""
33.736650108975745,"""101 Ways To A Six Figure Income As A Real Estate Agent Toolkit: New Video Pitch Page. Real Estate Agent Marketing… http://t.co/IDKmilZIH5"""
0.0,"""RT @HELL_HUESOS: Yo si dejo que @RondaRousey me rompa la madre http://t.co/XcfHdvYHJb"""
0.0,"""RT @nhk_news: 北朝鮮 日本海へ短距離ミサイル３発発射 http://t.co/xhEPJldCFP #nhk_news"""
0.0,"""@moekappaa まだまだおるよ♡名古屋には火曜日の朝帰る(´･_･`)"""
0.0,"""RT @JeabWattana: มันไม่ได้แค่สิ้นสุด  มันมีการเริ่มต้นใหม่รออยู่"""
26.48250753804426,"""RT @mahobili: When mom announces aalu waalay parathay http://t.co/6bN7IukHH3"""
0.0,"""あるとくんさん短くなったの？"""
0.0,"""RT @OPendant: @yorimichidog わーい http://t.co/f0gyfI77rM"""
100.74780387769553,"""@JeriferCruz for once in your life. Support me hahaha"""
0.0,"""RT @lucky_jp: 俺武雄市民じゃなくて心底よかったわ"""
