Host:,pi00,,,,User:,daniel,,,,,,,
Cmdline:,dstat --output str_1W32B1R.log,,,,Date:,13 Jun 2015 02:55:05 PDT,,,,,,,
,,,,,,,,,,,,,
total cpu usage,,,,,,dsk/total,,net/total,,paging,,system,
usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
17.91,1.741,80.1,0,0,0.249,0,0,62377,7332,0,0,1062,1072
17.677,0.758,80.808,0,0,0.758,0,0,69128,6711,0,0,1031,1025
16.584,0.743,82.178,0,0,0.495,0,0,59889,7544,0,0,1044,1063
35.309,3.457,60.741,0,0,0.494,0,65536,123566,403954,0,0,2015,1929
21.197,0.499,78.304,0,0,0,0,0,74400,8480,0,0,1154,1142
17.413,1.493,81.095,0,0,0,0,0,60410,8383,0,0,1071,1099
13.433,0.995,85.323,0,0,0.249,0,0,45407,5251,0,0,985,1055
21.34,2.233,75.434,0,0,0.993,0,0,86156,10093,0,0,1224,1152
34.243,2.978,60.546,0,0,2.233,0,32768,124146,411336,0,0,1997,1989
20.25,1,78.25,0,0,0.5,0,0,76143,8711,0,0,1122,1145
18.227,1.232,80.296,0,0,0.246,0,0,61004,7335,0,0,1084,1096
16.584,0.743,82.178,0,0,0.495,0,0,60117,6633,0,0,1037,1054
15.578,2.01,82.412,0,0,0,0,0,63044,9491,0,0,1110,1124
37.722,3.291,57.215,0,0,1.772,0,270336,143106,410570,0,0,2110,1995
22.716,2.469,74.074,0,0,0.741,0,16384,83880,8844,0,0,1159,1182
18.61,1.241,79.156,0,0,0.993,0,0,64857,10175,0,0,1121,1174
13.054,1.478,84.729,0,0,0.739,0,0,49651,5878,0,0,966,1000
19.298,1.253,79.198,0,0,0.251,0,0,68735,6477,0,0,1050,1033
34.25,4,59.75,0,0,2,0,73728,123351,442393,0,0,2012,1933
13.534,0.752,85.714,0,0,0,0,0,50054,4708,0,0,997,1037
19.307,0.743,78.713,0,0,1.238,0,0,66521,6633,0,0,1074,1088
13.614,0.99,84.901,0,0,0.495,0,0,48069,6552,0,0,983,1076
19.154,1.493,78.856,0,0,0.498,0,0,70019,8845,0,0,1055,1105
31.172,2.993,63.84,0.249,0,1.746,0,32768,116429,375027,0,0,1968,1886
18.797,2.005,78.697,0,0,0.501,0,0,74747,8867,0,0,1122,1101
24.631,1.232,73.399,0,0,0.739,0,0,87505,10698,0,0,1210,1154
23.762,0.743,75,0,0,0.495,0,0,85043,9753,0,0,1173,1128
18.657,1.244,79.851,0,0,0.249,0,0,66676,7488,0,0,1046,1056
39.702,4.218,54.591,0,0.248,1.241,0,32768,145408,485684,0,0,2340,2253
19.315,1.956,78.484,0,0,0.244,0,0,66602,7232,0,0,1053,1083
16.25,1,82.5,0,0,0.25,0,0,57200,7722,0,0,1046,1109
18.812,2.475,78.713,0,0,0,0,0,70133,7856,0,0,1094,1072
17.718,0.485,81.553,0,0,0.243,0,0,52881,6945,0,0,1010,1036
36,3.5,60,0,0,0.5,0,32768,131285,414090,0,0,2127,1997
17.812,0.763,80.407,0,0,1.018,0,0,72108,7136,0,0,1149,1173
15.764,2.217,81.527,0,0,0.493,0,0,56105,7681,0,0,1021,1092
24.318,2.73,72.705,0,0,0.248,0,0,92643,9855,0,0,1223,1155
24.814,0.496,73.945,0,0,0.744,0,0,92430,10015,0,0,1220,1131
37.221,2.978,58.065,0,0,1.737,0,32768,131582,473451,0,0,2093,1989
14.824,1.256,82.915,0.754,0,0.251,0,335872,55732,6474,0,0,1041,1076
26.551,1.241,72.208,0,0,0,0,0,89860,7101,0,0,1208,1065
16.912,0.98,81.618,0,0,0.49,0,0,55700,7544,0,0,1066,1124
18.719,0.985,79.803,0,0,0.493,0,0,65373,8555,0,0,1114,1106
38.213,2.233,57.568,0.248,0,1.737,0,90112,131593,427525,0,0,2096,2065
20.69,2.217,76.847,0,0,0.246,0,0,75793,8038,0,0,1116,1073
23,2.5,74.5,0,0,0,0,0,87047,9238,0,0,1184,1144
21.287,1.238,76.98,0,0,0.495,0,0,75857,8402,0,0,1135,1099
26.747,0.723,72.53,0,0,0,0,0,87008,7023,0,0,1122,1056
29.873,3.544,65.823,0,0,0.759,0,32768,106397,488938,0,0,2113,1959
18.5,2.5,78.5,0,0,0.5,0,0,75322,7023,0,0,1160,1074
19.951,0.985,78.818,0,0,0.246,0,0,63844,7335,0,0,1068,1059
22.444,1.496,75.81,0,0,0.249,0,0,85735,8944,0,0,1171,1110
18.342,1.256,79.899,0,0,0.503,0,0,66999,7935,0,0,1074,1079
38.142,3.912,56.479,0,0,1.467,0,32768,138317,422506,0,0,1999,1835
16.708,0.499,82.294,0,0,0.499,0,0,58246,8399,0,0,1070,1121
20.25,1.5,78.25,0,0,0,0,0,72054,8121,0,0,1132,1108
13.086,0.741,85.185,0,0,0.988,0,0,49017,5098,0,0,993,1032
22.67,1.008,76.071,0,0,0.252,0,0,86741,8164,0,0,1166,1143
31,3.75,63.75,0.25,0,1.25,0,32768,117221,413085,0,0,1935,1882
19.212,2.217,78.325,0,0,0.246,0,0,72980,6555,0,0,1093,1107
15.228,0.508,84.01,0,0,0.254,0,0,57174,8243,0,0,1079,1140
15.25,1,83.75,0,0,0,0,0,55440,7101,0,0,1060,1076
16.332,2.261,80.905,0,0,0.503,0,0,70419,6633,0,0,1071,1081
32.663,3.769,62.814,0,0,0.754,0,32768,114431,408342,0,0,2078,2007
19.951,1.232,78.571,0,0,0.246,0,0,64776,6711,0,0,1066,1096
17.085,1.005,81.91,0,0,0,0,0,57522,7681,0,0,1037,1094
13.861,0.495,85.149,0,0,0.495,0,0,48184,5329,0,0,973,1042
24.623,1.256,74.121,0,0,0,0,0,81211,9365,0,0,1146,1200
27.96,2.267,69.018,0,0,0.756,0,32768,94681,413825,0,0,1932,1848
16.912,1.225,81.618,0,0,0.245,0,98304,57762,7722,0,0,1064,1158
24.06,1.253,74.687,0,0,0,0,0,79290,8766,0,0,1137,1163
25.628,1.256,72.613,0,0,0.503,0,0,96047,8506,0,0,1150,1138
20.551,1.003,78.195,0,0,0.251,0,0,73474,8711,0,0,1099,1127
41.397,2.494,54.863,0,0,1.247,0,57344,145343,430254,0,0,2078,2046
28.463,2.519,68.514,0,0,0.504,0,335872,102790,9338,0,0,1231,1202
30.414,1.703,67.883,0,0,0,0,0,97376,10461,0,0,1178,1211
25.243,2.913,70.874,0,0,0.971,0,0,88949,8168,0,0,1125,1111
27.5,2.25,70,0,0,0.25,0,0,104028,12824,0,0,1162,1133
47.631,4.988,45.387,0,0,1.995,0,49152,157723,612680,0,0,2302,2139
25.628,1.256,73.116,0,0,0,0,0,83345,10847,0,0,1141,1206
30.392,1.225,67.647,0.245,0,0.49,204800,0,104347,8506,0,0,1250,1226
27.561,1.951,70.244,0,0,0.244,0,0,89047,9856,0,0,1133,1157
28.536,1.241,69.727,0,0,0.496,0,0,93390,8533,0,0,1115,1104
44.802,5.941,46.782,0,0,2.475,0,32768,168847,619391,0,0,2385,2230
29.073,1.504,68.672,0,0,0.752,0,0,94977,10246,0,0,1165,1206
22.333,0.744,76.923,0,0,0,0,0,69430,8982,0,0,1114,1123
20.297,1.733,77.228,0,0,0.743,0,0,73663,7569,0,0,1065,1072
25.616,0.985,72.906,0,0,0.493,0,0,85638,8970,0,0,1131,1124
41.266,3.544,53.418,0.506,0,1.266,0,32768,142782,540821,0,0,2230,2103
18.765,1.235,79.506,0,0,0.494,0,0,67084,7934,0,0,1110,1114
28.293,1.22,69.756,0,0,0.732,0,0,91870,7566,0,0,1167,1124
23.858,1.015,74.112,0,0,1.015,0,0,91952,8948,0,0,1169,1151
21.914,1.008,76.826,0,0,0.252,0,0,80410,8376,0,0,1115,1123
42.424,3.535,53.283,0,0,0.758,0,32768,147949,522461,0,0,2158,2057
23.457,1.235,75.062,0,0,0.247,0,0,79143,9373,0,0,1224,1168
22.306,1.003,75.689,0,0,1.003,0,0,80276,21807,0,0,1222,1120
18.537,1.951,79.024,0,0,0.488,0,0,61765,9101,0,0,1076,1149
20.101,1.005,78.894,0,0,0,0,0,71668,8689,0,0,1091,1144
41.975,4.691,51.852,0,0,1.481,0,32768,142806,492760,0,0,2181,2116
14.677,0.995,83.831,0,0,0.498,0,90112,52550,6708,0,0,1035,1100
27.901,1.481,70.123,0,0,0.494,0,0,95388,8168,0,0,1165,1169
28.606,1.956,68.949,0,0,0.489,0,0,97325,8480,0,0,1169,1154
22.549,0.98,76.225,0,0,0.245,0,0,73533,10480,0,0,1153,1170
32.323,4.545,60.859,0.253,0,2.02,0,57344,125398,511118,0,0,2133,2077
24.337,2.41,72.771,0,0,0.482,0,16384,81734,9703,0,0,1170,1225
27.723,2.228,69.554,0,0,0.495,0,0,99050,10695,0,0,1226,1196
26.076,1.266,71.899,0,0,0.759,0,0,97068,9026,0,0,1172,1175
24.444,0.247,75.309,0,0,0,0,0,77158,9703,0,0,1118,1137
36.776,3.778,57.683,0,0,1.763,0,57344,139422,522329,0,0,2093,2046
20.75,1.25,77.75,0,0,0.25,0,393216,77855,8949,0,0,1192,1179
26.196,0.756,72.292,0,0,0.756,0,0,96022,6867,0,0,1133,1117
