Host:,pi00,,,,User:,daniel,,,,,,,,,,
Cmdline:,dstat -cdlsm --output 4W32B4R.log,,,,Date:,14 Jun 2015 03:08:44 PDT,,,,,,,,,,
,,,,,,,,,,,,,,,,
total cpu usage,,,,,,dsk/total,,load avg,,,swap,,memory usage,,,
usr,sys,idl,wai,hiq,siq,read,writ,1m,5m,15m,used,free,used,buff,cach,free
93.955,3.023,3.023,0,0,0,4980736,0,4.55,2.26,1.21,0,104853504,678531072,9175040,272080896,12324864
92.308,3.474,4.218,0,0,0,2359296,24576,4.55,2.26,1.21,0,104853504,678608896,9183232,273027072,11292672
92.537,1.99,5.473,0,0,0,2097152,0,4.5,2.28,1.23,0,104853504,678383616,9183232,271044608,13500416
94.236,2.757,3.008,0,0,0,1310720,0,4.5,2.28,1.23,0,104853504,678252544,9183232,271769600,12906496
92.481,4.261,2.757,0,0,0.501,0,0,4.5,2.28,1.23,0,104853504,678264832,9183232,271675392,12988416
91.479,2.506,5.764,0,0,0.251,0,0,4.5,2.28,1.23,0,104853504,678158336,9183232,271675392,13094912
92.768,3.741,3.491,0,0,0,0,32768,4.5,2.28,1.23,0,104853504,678277120,9191424,271667200,12976128
95.761,1.746,2.494,0,0,0,0,0,4.46,2.31,1.24,0,104853504,678178816,9191424,271675392,13066240
94.03,2.239,3.731,0,0,0,0,0,4.46,2.31,1.24,0,104853504,678146048,9191424,271675392,13099008
34.406,1.733,63.861,0,0,0,0,0,4.46,2.31,1.24,0,104853504,678088704,9191424,271675392,13156352
93.766,4.738,1.496,0,0,0,0,0,4.46,2.31,1.24,0,104853504,678072320,9191424,271675392,13172736
96.5,2.75,0.75,0,0,0,0,32768,4.46,2.31,1.24,0,104853504,678023168,9199616,271675392,13213696
95.489,3.008,1.504,0,0,0,0,0,4.43,2.34,1.26,0,104853504,677974016,9199616,271675392,13262848
72.127,1.956,25.672,0,0,0.244,0,0,4.43,2.34,1.26,0,104853504,677244928,9211904,273199104,12455936
28.218,2.228,60.644,8.663,0,0.248,1122304,3194880,4.43,2.34,1.26,0,104853504,677232640,9211904,272138240,13529088
37.626,16.667,34.091,4.293,0,7.323,9715712,3063808,4.43,2.34,1.26,0,104853504,762368000,9211904,187285504,13246464
38.539,6.549,49.874,0.504,0,4.534,1318912,229376,4.43,2.34,1.26,0,104853504,765804544,9220096,180621312,16465920
38.25,5.75,54.5,0,0,1.5,0,0,4.23,2.33,1.26,0,104853504,764297216,9220096,180621312,17973248
51.914,1.914,46.172,0,0,0,0,0,4.23,2.33,1.26,0,104853504,764297216,9220096,180621312,17973248
52.323,0.733,46.944,0,0,0,0,0,4.23,2.33,1.26,0,104853504,764297216,9220096,180621312,17973248
41.527,1.193,57.279,0,0,0,24576,0,4.23,2.33,1.26,0,104853504,764321792,9220096,180621312,17948672
37.317,0.732,61.707,0.244,0,0,0,32768,4.23,2.33,1.26,0,104853504,764317696,9228288,180625408,17940480
31.463,2.439,65.854,0.244,0,0,335872,0,3.97,2.31,1.26,0,104853504,764276736,9228288,180633600,17973248
31.54,2.934,64.303,0,0,1.222,0,0,3.97,2.31,1.26,0,104853504,772788224,9228288,174419968,15675392
